Street                          House                                    Population
Street 0                        House 0                                       50
Street 0                        House 1                                       15
Street 0                        House 2                                       76
Street 0                        House 3                                       74
Street 0                        House 4                                       81
Street 0                        House 5                                       28
Street 0                        House 6                                       27
Street 0                        House 7                                       50
Street 0                        House 8                                       37
Street 0                        House 9                                       97
Street 0                       House 10                                       73
Street 0                       House 11                                       48
Street 0                       House 12                                       63
Street 0                       House 13                                       10
Street 0                       House 14                                       35
Street 0                       House 15                                       58
Street 0                       House 16                                       56
Street 0                       House 17                                       43
Street 0                       House 18                                       71
Street 0                       House 19                                       28
Street 1                        House 0                                       24
Street 1                        House 1                                       94
Street 1                        House 2                                       99
Street 1                        House 3                                       53
Street 1                        House 4                                       47
Street 1                        House 5                                       10
Street 1                        House 6                                       16
Street 1                        House 7                                       97
Street 1                        House 8                                       47
Street 1                        House 9                                       12
Street 1                       House 10                                       48
Street 1                       House 11                                       55
Street 1                       House 12                                       80
Street 1                       House 13                                        2
Street 1                       House 14                                       15
Street 2                        House 0                                       80
Street 2                        House 1                                       62
Street 2                        House 2                                       43
Street 2                        House 3                                       96
Street 2                        House 4                                        7
Street 2                        House 5                                        3
Street 2                        House 6                                       12
Street 2                        House 7                                       70
Street 2                        House 8                                       74
Street 3                        House 0                                       69
Street 3                        House 1                                       48
Street 3                        House 2                                       35
Street 3                        House 3                                       54
Street 3                        House 4                                       99
Street 3                        House 5                                       41
Street 3                        House 6                                       75
Street 3                        House 7                                       22
Street 3                        House 8                                       64
Street 3                        House 9                                       20
Street 3                       House 10                                       53
Street 3                       House 11                                       58
Street 4                        House 0                                       70
Street 4                        House 1                                       90
Street 4                        House 2                                        3
Street 4                        House 3                                       81
Street 4                        House 4                                       62
Street 4                        House 5                                       88
Street 4                        House 6                                       20
Street 4                        House 7                                       89
Street 4                        House 8                                       62
Street 4                        House 9                                       31
Street 4                       House 10                                        6
Street 4                       House 11                                       88
Street 4                       House 12                                       38
Street 5                        House 0                                       25
Street 5                        House 1                                       16
Street 5                        House 2                                       91
Street 5                        House 3                                       44
Street 5                        House 4                                       37
Street 5                        House 5                                       73
Street 5                        House 6                                       72
Street 5                        House 7                                       45
Street 5                        House 8                                       95
Street 5                        House 9                                       40
Street 5                       House 10                                       40
Street 5                       House 11                                       72
Street 5                       House 12                                       94
Street 5                       House 13                                       66
Street 5                       House 14                                       71
Street 5                       House 15                                       66
Street 5                       House 16                                       80
Street 5                       House 17                                       46
Street 5                       House 18                                       75
Street 5                       House 19                                       40
Street 6                        House 0                                       68
Street 6                        House 1                                       73
Street 6                        House 2                                       18
Street 6                        House 3                                       14
Street 6                        House 4                                       15
Street 6                        House 5                                       68
Street 6                        House 6                                       17
Street 6                        House 7                                       62
Street 6                        House 8                                       69
Street 6                        House 9                                       69
Street 6                       House 10                                       92
Street 6                       House 11                                       87
Street 6                       House 12                                        9
Street 6                       House 13                                        5
Street 6                       House 14                                       58
Street 6                       House 15                                       97
